ep,traj,reward,prob_failure,obs,dist_uni,entropy,oracle_calls,cache_calls,traj_len,avg_traj_len,samples
69,1205,-0.24722727272727282,-0.427272727272727,"{'obs': [0.07346152458212106, 0.06970243168551214, 0.04260167677677325, 0.04001503609975133, 0.038456996970203675, 0.015217674930282537, 0.013761464422495467, 0.02926461818853725, 0.0436900095936222, 0.03273578954842198, 0.04668878381619133, 0.028304503951506386, 0.02659381382072123, 0.011771426545824942, 0.011483799123358273, 0.019592215111200698, 0.03103439536120073, 0.018700562078791064, 0.03141365913526509, 0.023935884464558854, 0.009911334827778675, 0.015341775599128542, 0.002258504949368529, 0.007267004393528783, 0.0056544638551982475, 0.005206907557229179, 0.010283300273425488, 0.011746520483260787, 0.012476548031470153, 0.026072455862003643, 0.01048539994677994, 0.03540066991343394, 0.0, 0.0025115761092550258, 0.003761502842740754, 0.00850413223140496, 0.01105785123966942, 0.0183834805271971, 0.004282126073569924, 0.029470710730719444, 0.0, 0.0, 0.0, 0.00265840220385675, 0.00265840220385675, 0.008646120293847566, 0.011056588613406793, 0.04024672565694796, 0.0, 0.0012121212121212121, 0.0012121212121212121, 0.0012121212121212121, 0.0, 0.0, 0.0009943181818181817, 0.027616847107183762, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.023983700449216536]}",0.13724225819523228,0,59,11,{'lens': 0},0.0,24883
70,1205,-0.24700000000000008,-0.39999999999999974,"{'obs': [0.06939339923656261, 0.06880557772029504, 0.04158091425470546, 0.03998170747889922, 0.039003753224611165, 0.015632202067819, 0.014416772252138109, 0.030658171435610452, 0.04082463051259119, 0.031843279815150435, 0.04449886559999857, 0.027735521596070397, 0.02742064575027411, 0.011844442322383499, 0.01171318638320073, 0.02036644757681343, 0.02907650262607421, 0.01821224975194211, 0.029847792579698135, 0.021941227425845616, 0.010383303152910993, 0.015913606183214028, 0.0023153942428035044, 0.007613052221792058, 0.005381671232344426, 0.004971411292539445, 0.010621005554936122, 0.012255220040214442, 0.012861280646275048, 0.027104612659214895, 0.010934046144853556, 0.037086416099787946, 0.0, 0.0024285407264130663, 0.00388996346443155, 0.00890909090909091, 0.011425685425685424, 0.019258884361825532, 0.004486036838978015, 0.030874077908372752, 0.0, 0.0, 0.0, 0.0026262626262626263, 0.0026262626262626263, 0.009057840307840308, 0.011583092833092832, 0.04216323640251691, 0.0, 0.0011111111111111111, 0.0011111111111111111, 0.0011111111111111111, 0.0, 0.0, 0.0010416666666666667, 0.028931935064668703, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02512578142298875]}",0.1321088823171127,0,59,12,{'lens': 0},0.0,24883
71,1205,-0.24680769230769237,-0.3769230769230767,"{'obs': [0.06595113932878238, 0.06804670128818827, 0.0407171921206481, 0.039953506338178194, 0.03946639313218673, 0.015982955799580624, 0.014971263492604959, 0.031837331875441625, 0.03840007898248803, 0.031088079271612976, 0.04264585787860469, 0.027254074987624558, 0.028120272767588085, 0.01190622490254843, 0.011907283295375116, 0.02102156735540882, 0.027419824157890235, 0.017799062398454534, 0.028522828571141485, 0.02025344070078057, 0.010782660966484493, 0.016397462831286364, 0.002363531337248484, 0.007905861922630214, 0.005150846705314269, 0.004772145222417363, 0.010906756177752814, 0.012685658126867535, 0.013186823628033036, 0.02797797610300903, 0.011313669850915845, 0.03851281671901056, 0.0, 0.0023582800178544856, 0.003998660913554531, 0.009251748251748253, 0.011736929736929736, 0.019999610683434206, 0.004658576717400247, 0.032061542443310165, 0.0, 0.0, 0.0, 0.0025990675990675994, 0.0025990675990675994, 0.009406218781218782, 0.012028596403596402, 0.043784899341075253, 0.0, 0.0010256410256410256, 0.0010256410256410256, 0.0010256410256410256, 0.0, 0.0, 0.001081730769230769, 0.03004470179792519, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.026092157631565242]}",0.12798867223036886,0,59,13,{'lens': 0},0.0,24883
72,1205,-0.2466428571428572,-0.3571428571428569,"{'obs': [0.06300063083639933, 0.06739623577495388, 0.03997685886288465, 0.03992933393184589, 0.039862941624394355, 0.0162836018553763, 0.015446541698719401, 0.032848040823868344, 0.03632189195668532, 0.030440764520009437, 0.041057565545981375, 0.026841406466099556, 0.02871995306814292, 0.011959181399832658, 0.012073652077238876, 0.021583098594204868, 0.02599981404230397, 0.017444901809750897, 0.027387145135235786, 0.018806766365010528, 0.011124967663833207, 0.016812197101062652, 0.002404791703915609, 0.008156841666205776, 0.004952997110716992, 0.004601345733741294, 0.011151685283024265, 0.013054605058284471, 0.01346586046953988, 0.028726573340546863, 0.011639061598969236, 0.039735445821201365, 0.0, 0.002298056553375702, 0.004091830155659943, 0.009545454545454548, 0.012003710575139145, 0.020634518959098787, 0.004806468041762159, 0.033079369187542236, 0.0, 0.0, 0.0, 0.002575757575757576, 0.002575757575757576, 0.009704828901257474, 0.012410456606885178, 0.04517489614555383, 0.0, 0.0009523809523809523, 0.0009523809523809523, 0.0009523809523809523, 0.0, 0.0, 0.0011160714285714285, 0.03099850185500218, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.026920480096059376]}",0.12463650840855459,0,59,14,{'lens': 0},0.0,24883
73,1205,-0.24650000000000005,-0.33999999999999975,"{'obs': [0.06044352347633402, 0.06683249899681741, 0.039335236706156324, 0.03990838451302456, 0.04020661698430763, 0.016544161770399222, 0.01585844947735192, 0.0337239885791715, 0.034520796534322974, 0.02987975840195304, 0.03968104552437449, 0.02648376041411122, 0.029239675995290444, 0.012005077030812323, 0.012217838354854134, 0.02206975900116144, 0.02476913860879587, 0.017137962632874416, 0.026402886157450844, 0.017552981940676494, 0.011421633468202092, 0.0171716334682021, 0.0024405506883604508, 0.008374357443971265, 0.004781527462066018, 0.004453319510222033, 0.011363957174259523, 0.013374359065512483, 0.013707692398845815, 0.029375357613079647, 0.011921067780615507, 0.040795057709766734, 0.0, 0.0022458628841607567, 0.004172576832151301, 0.009800000000000001, 0.012234920634920633, 0.021184772798008088, 0.004934640522875817, 0.03396148569921002, 0.0, 0.0, 0.0, 0.0025555555555555557, 0.0025555555555555557, 0.00996362433862434, 0.012741402116402116, 0.0463795600427686, 0.0, 0.0008888888888888888, 0.0008888888888888888, 0.0008888888888888888, 0.0, 0.0, 0.0011458333333333331, 0.03182512857113557, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.027638359565287627]}",0.12187650566379278,0,59,15,{'lens': 0},0.0,24883
74,1205,-0.24637500000000004,-0.32499999999999973,"{'obs': [0.05820605453627688, 0.066339229315948, 0.038773817319019035, 0.03989005377155589, 0.04050733292423175, 0.016772151696044273, 0.01621886878365537, 0.03449044286506176, 0.032944838039755925, 0.02938887804865369, 0.03847659050546848, 0.026170820118621426, 0.02969443355654453, 0.012045235707919528, 0.012344001347767485, 0.022495586857248444, 0.023692297604476286, 0.016869390853107492, 0.025541659551889022, 0.016455920569384212, 0.011681216047024866, 0.017486140289449118, 0.0024718397997496875, 0.008564683749516066, 0.004631491519496416, 0.00432379656464268, 0.011549695079090372, 0.013654143821836993, 0.013919295336988506, 0.029943043851545836, 0.012167823189555995, 0.04172221811226143, 0.0, 0.002200193423597679, 0.004243230174081239, 0.010022727272727273, 0.012437229437229436, 0.02166624490705373, 0.005046791443850267, 0.03473333764691935, 0.0, 0.0, 0.0, 0.002537878787878788, 0.002537878787878788, 0.010190070346320348, 0.013030979437229437, 0.04743364095283153, 0.0, 0.0008333333333333333, 0.0008333333333333333, 0.0008333333333333333, 0.0, 0.0, 0.001171875, 0.03254842694775229, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.028266504100862344]}",0.11957986818416984,0,59,16,{'lens': 0},0.0,24883
75,1205,-0.24626470588235297,-0.31176470588235267,"{'obs': [0.05623181723622645, 0.0659039913622397, 0.03827844727154496, 0.039873879587907064, 0.040772670518282435, 0.01697331927749579, 0.016536885818629006, 0.035166726058494344, 0.031554286426902646, 0.028955748325154265, 0.03741383607702199, 0.025894696328483374, 0.03009569022823931, 0.012080669834778828, 0.012455321635632207, 0.022871317318501682, 0.022742143777135477, 0.01663241575331315, 0.02478175372345212, 0.015487925241773377, 0.011910259498927314, 0.017763646308196487, 0.0024994478392107787, 0.008732618724996772, 0.004499106864287943, 0.0042095116126608986, 0.011713581465705827, 0.013901012724476266, 0.014106003811820294, 0.030443943473721886, 0.012385548550385837, 0.04254030082034498, 0.0, 0.002159896840747905, 0.004305571358137066, 0.010219251336898397, 0.012615737203972497, 0.022091073238564587, 0.005145748138827724, 0.03541438348313346, 0.0, 0.0, 0.0, 0.002522281639928699, 0.002522281639928699, 0.01038987564722859, 0.013286488837959425, 0.04836371234406352, 0.0, 0.000784313725490196, 0.000784313725490196, 0.000784313725490196, 0.0, 0.0, 0.0011948529411764707, 0.03318663139770822, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.028820749279310626]}",0.1176506013517741,0,59,17,{'lens': 0},0.0,24883
76,1205,-0.24616666666666673,-0.2999999999999997,"{'obs': [0.05447693963618164, 0.06551711318116565, 0.03783811834045689, 0.03985950253577478, 0.04100852615743861, 0.017152134905452695, 0.01681956762749446, 0.03576786667487886, 0.03031824054881084, 0.02857074412648811, 0.03646916547395845, 0.02564925295947177, 0.030452362825301338, 0.012112166836431537, 0.01255427300262307, 0.02320529995072678, 0.021897562597276977, 0.016421771220162622, 0.02410628187595265, 0.014627484950563744, 0.012113853678396158, 0.018010318324860816, 0.002523988318731749, 0.0088818942587574, 0.004381431615213746, 0.004107924988677092, 0.011859258253808454, 0.014120451749044508, 0.014271966900559659, 0.030889187582322817, 0.01257908220445681, 0.04326748544975259, 0.0, 0.00212407765599255, 0.0043609857439644685, 0.010393939393939393, 0.012774410774410773, 0.022468698422129795, 0.0052337096454743515, 0.03601975755976822, 0.0, 0.0, 0.0, 0.002508417508417509, 0.002508417508417509, 0.010567480359147029, 0.013513608305274972, 0.049190442469603066, 0.0, 0.0007407407407407407, 0.0007407407407407407, 0.0007407407407407407, 0.0, 0.0, 0.0012152777777777778, 0.03375392424211349, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02931341166015354]}",0.11601603517135536,0,59,18,{'lens': 0},0.0,24883
77,1205,-0.24607894736842112,-0.28947368421052605,"{'obs': [0.05290678599403627, 0.06517095901915204, 0.03744413982316757, 0.03984663885755115, 0.041219554887209915, 0.017312127835729926, 0.017072493456479338, 0.03630572933164396, 0.02921230476314975, 0.028226266685576287, 0.035623933881743695, 0.02542964573456665, 0.030771490938462098, 0.012140348364226068, 0.012642808436246475, 0.02350412651640187, 0.02114188469950885, 0.01623329979576478, 0.023501912328189968, 0.013857617321586704, 0.012296016891605121, 0.01823102486608679, 0.00254594558988209, 0.009015456578437964, 0.004276143234463148, 0.004017031693533686, 0.011989600643163437, 0.014316791928921357, 0.014420460190484354, 0.03128756389001839, 0.012752243894941362, 0.04391812432869623, 0.0, 0.0020920289117377588, 0.004410567036546882, 0.01055023923444976, 0.012916381863750284, 0.022806573586372347, 0.005312412046158176, 0.036561408049388795, 0.0, 0.0, 0.0, 0.0024960127591706544, 0.0024960127591706544, 0.010726389838231945, 0.013716820460241513, 0.04993014837140161, 0.0, 0.0007017543859649122, 0.0007017543859649122, 0.0007017543859649122, 0.0, 0.0, 0.0012335526315789475, 0.03426150205026557, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.029754214843012994]}",0.114620388107654,0,59,19,{'lens': 0},0.0,24883
78,1205,-0.24600000000000008,-0.2799999999999997,"{'obs': [0.05149364771610544, 0.06485942027333978, 0.03708955915760718, 0.03983506154714989, 0.04140948074400409, 0.01745612147297943, 0.01730012670256573, 0.03678980572273254, 0.02821696255605477, 0.027916236988755644, 0.03486322544875042, 0.025231999232152042, 0.031058706240306783, 0.012165711739241147, 0.012722490326507538, 0.02377307042550945, 0.02046177459151753, 0.016063675513806726, 0.022957979735203554, 0.01316473645550737, 0.01245996378349319, 0.01842966075319017, 0.0025657071339173975, 0.009135662666150469, 0.00418138369178761, 0.0039352277279046215, 0.012106908793582921, 0.01449349809081052, 0.01455410415141658, 0.031646102566944403, 0.012908089416377458, 0.044503699319745516, 0.0, 0.0020631850419084467, 0.004455190199871053, 0.01069090909090909, 0.013044155844155844, 0.023110661234190647, 0.005383244206773619, 0.037048893490047315, 0.0, 0.0, 0.0, 0.002484848484848485, 0.002484848484848485, 0.010869408369408372, 0.013899711399711398, 0.050595883683020294, 0.0, 0.0006666666666666666, 0.0006666666666666666, 0.0006666666666666666, 0.0, 0.0, 0.0012500000000000002, 0.03471832207760244, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0301509377075865]}",0.11342030450931143,0,59,20,{'lens': 0},0.0,24883
