ep,traj,reward,prob_failure,obs,dist_uni,entropy,oracle_calls,cache_calls,traj_len,avg_traj_len,samples
0,25,-0.27000000000000013,-1.0,"{'obs': [0.037267080745341616, 0.18825728256149823, 0.12945118843096903, 0.022796352583586626, 0.01276595744680851, 0.00425531914893617, 0.0, 0.0, 0.07985425437520058, 0.07814948366025412, 0.03265306122448979, 0.03708206686930091, 0.01276595744680851, 0.00851063829787234, 0.0, 0.0, 0.04169608639015273, 0.039655270063622114, 0.01836734693877551, 0.04711246200607903, 0.00425531914893617, 0.00425531914893617, 0.0, 0.0, 0.012244897959183673, 0.012777284826974267, 0.01685891748003549, 0.012777284826974267, 0.00425531914893617, 0.01276595744680851, 0.01276595744680851, 0.0, 0.008163265306122448, 0.012244897959183673, 0.008163265306122448, 0.008695652173913044, 0.0, 0.00425531914893617, 0.00851063829787234, 0.0, 0.008163265306122448, 0.0, 0.008695652173913044, 0.008695652173913044, 0.0, 0.0, 0.0, 0.0, 0.016326530612244896, 0.004081632653061224, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.012244897959183673, 0.008163265306122448, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",0.2657051571933254,0,0,1,{'lens': 0},0.0,562
1,25,-0.2310000000000001,-1.0,"{'obs': [0.06604094778007821, 0.12716957695326372, 0.09972559421548452, 0.016398176291793312, 0.006382978723404255, 0.002127659574468085, 0.0, 0.0, 0.063630830891304, 0.06867513169367481, 0.0400302343159486, 0.02724473713835416, 0.015086682427107957, 0.012959022852639872, 0.005, 0.0, 0.041111201089813205, 0.04868728415461808, 0.014183673469387755, 0.028556231003039514, 0.0058313632781717886, 0.0058313632781717886, 0.005, 0.0, 0.04191192266380236, 0.026388642413487134, 0.013429458740017747, 0.011388642413487134, 0.0058313632781717886, 0.010086682427107958, 0.010086682427107958, 0.0, 0.05425707124955245, 0.02471894020766201, 0.004081632653061224, 0.004347826086956522, 0.0, 0.002127659574468085, 0.007959022852639873, 0.007407407407407407, 0.009344790547798066, 0.011929824561403509, 0.004347826086956522, 0.004347826086956522, 0.0, 0.0, 0.0, 0.014814814814814814, 0.008163265306122448, 0.002040816326530612, 0.0, 0.0, 0.0, 0.0, 0.0037037037037037034, 0.007407407407407407, 0.006122448979591836, 0.004081632653061224, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",0.2309870006394557,0,0,2,{'lens': 0},0.0,562
2,25,-0.21266666666666675,-1.0,"{'obs': [0.0640824600645754, 0.11940540748814903, 0.1020944465770685, 0.02389508049082517, 0.005673758865248227, 0.0070921985815602835, 0.0, 0.0014184397163120568, 0.08420936401421843, 0.05942408306765082, 0.05711235479219268, 0.040629667154489846, 0.015731547149986865, 0.01431310743367481, 0.006170212765957447, 0.00425531914893617, 0.03407413405987547, 0.03245818943641205, 0.02198533314034834, 0.038667116964989305, 0.008142894667717364, 0.0053060152350932486, 0.00475177304964539, 0.0, 0.02794128177586824, 0.01759242827565809, 0.0222863058266785, 0.012036872720102532, 0.0038875755187811924, 0.006724454951405306, 0.006724454951405306, 0.0, 0.03617138083303497, 0.020923737916219116, 0.016054421768707482, 0.007342995169082126, 0.0, 0.0014184397163120568, 0.0053060152350932486, 0.0049382716049382715, 0.006229860365198711, 0.007953216374269005, 0.007342995169082126, 0.007342995169082126, 0.0, 0.0, 0.0, 0.009876543209876543, 0.005442176870748299, 0.0013605442176870747, 0.0, 0.0, 0.0, 0.0, 0.0024691358024691358, 0.0049382716049382715, 0.004081632653061224, 0.0027210884353741495, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",0.22585557278006502,0,0,3,{'lens': 0},0.0,562
3,25,-0.20750000000000007,-1.0,"{'obs': [0.07176554875213526, 0.10607452345236908, 0.09407083493280137, 0.020421310368118877, 0.00425531914893617, 0.005319148936170213, 0.0, 0.0010638297872340426, 0.07500887486251567, 0.05936825723251199, 0.05468611794599636, 0.034824102217719234, 0.016150512214342, 0.015086682427107959, 0.007127659574468086, 0.0031914893617021275, 0.035687179492275026, 0.03877346663871255, 0.018988999855261254, 0.03150033772374198, 0.007959022852639873, 0.0058313632781717886, 0.006063829787234043, 0.0, 0.03885069817400644, 0.023194321206743567, 0.019214729370008874, 0.0115276545400769, 0.004767533490937746, 0.006895193065405831, 0.006895193065405831, 0.0, 0.05221625492302184, 0.024991049051199424, 0.012040816326530613, 0.0055072463768115944, 0.0, 0.0010638297872340426, 0.0058313632781717886, 0.007407407407407407, 0.0073039742212674535, 0.011929824561403509, 0.0055072463768115944, 0.0055072463768115944, 0.0, 0.0, 0.0, 0.014814814814814814, 0.004081632653061224, 0.001020408163265306, 0.0, 0.0, 0.0, 0.0, 0.0037037037037037034, 0.007407407407407407, 0.003061224489795918, 0.002040816326530612, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",0.22222987059306726,0,0,4,{'lens': 0},0.0,562
