ep,traj,reward,prob_failure,obs,dist_uni,entropy,oracle_calls,cache_calls,traj_len,avg_traj_len,samples
0,25,-0.2540000000000001,-1.0,"{'obs': [0.0598343685300207, 0.025523809523809525, 0.02215320910973085, 0.017805383022774325, 0.004347826086956522, 0.0, 0.0, 0.0, 0.09672877846790891, 0.09285300207039338, 0.027329192546583846, 0.017805383022774325, 0.004347826086956522, 0.0, 0.0, 0.0, 0.03250517598343685, 0.1130103519668737, 0.08244306418219462, 0.04, 0.0, 0.0, 0.0, 0.0, 0.031677018633540374, 0.021457556935817808, 0.009523809523809523, 0.0047619047619047615, 0.0, 0.0, 0.0, 0.0, 0.047677018633540375, 0.012347826086956521, 0.0, 0.009523809523809523, 0.0, 0.0, 0.0, 0.0, 0.05761490683229813, 0.012347826086956521, 0.0047619047619047615, 0.014285714285714285, 0.0, 0.0, 0.0, 0.0, 0.038285714285714284, 0.014285714285714285, 0.0, 0.0047619047619047615, 0.0, 0.0, 0.0, 0.0, 0.05600000000000001, 0.024, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",0.2692297457231428,0,0,1,{'lens': 0},0.0,626
1,25,-0.21700000000000008,-1.0,"{'obs': [0.06876522348069662, 0.07558870214752568, 0.04690993788819875, 0.05112491373360939, 0.01967391304347826, 0.0, 0.0, 0.0, 0.08202451995290871, 0.07360787358421629, 0.04172015182884748, 0.04056935817805382, 0.012590579710144927, 0.0, 0.0, 0.0, 0.039822849429626925, 0.06826988186578979, 0.058909440587829334, 0.04685457516339869, 0.0125, 0.008333333333333333, 0.0, 0.0, 0.03936792108147607, 0.010728778467908904, 0.0047619047619047615, 0.0023809523809523807, 0.008333333333333333, 0.0125, 0.0, 0.0, 0.029720862257946658, 0.0061739130434782605, 0.0, 0.0047619047619047615, 0.004166666666666667, 0.0125, 0.0, 0.0, 0.028807453416149063, 0.0061739130434782605, 0.0023809523809523807, 0.007142857142857143, 0.0, 0.004166666666666667, 0.0, 0.0, 0.019142857142857142, 0.007142857142857143, 0.0, 0.0023809523809523807, 0.0, 0.0, 0.0, 0.0, 0.028000000000000004, 0.012, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",0.2230095544629103,0,0,2,{'lens': 0},0.0,626
2,25,-0.20466666666666675,-1.0,"{'obs': [0.07174217513092192, 0.09227699968876439, 0.05516218081435472, 0.0622314239705544, 0.024782608695652172, 0.0, 0.0, 0.0, 0.07712310044790864, 0.0671928307554906, 0.046517138256268686, 0.04815734989648032, 0.015338164251207728, 0.0, 0.0, 0.0, 0.04226207391169028, 0.05335639183209515, 0.051064899389707576, 0.04913943355119826, 0.016666666666666666, 0.011111111111111112, 0.0, 0.0, 0.041931555230787974, 0.007152518978605936, 0.003174603174603174, 0.001587301587301587, 0.011111111111111112, 0.016666666666666666, 0.0, 0.0, 0.023735476799415418, 0.004115942028985507, 0.0, 0.003174603174603174, 0.005555555555555556, 0.016666666666666666, 0.0, 0.0, 0.019204968944099374, 0.004115942028985507, 0.001587301587301587, 0.0047619047619047615, 0.0, 0.005555555555555556, 0.0, 0.0, 0.01276190476190476, 0.0047619047619047615, 0.0, 0.001587301587301587, 0.0, 0.0, 0.0, 0.0, 0.018666666666666668, 0.008, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",0.21799125443235454,0,0,3,{'lens': 0},0.0,626
3,25,-0.19850000000000007,-1.0,"{'obs': [0.07323065095603458, 0.10062114845938375, 0.0592883022774327, 0.06778467908902691, 0.027336956521739127, 0.0, 0.0, 0.0, 0.07467239069540861, 0.06398530934112776, 0.04891563146997929, 0.05195134575569357, 0.016711956521739128, 0.0, 0.0, 0.0, 0.04348168615272196, 0.04589964681524784, 0.04714262879064669, 0.050281862745098035, 0.018750000000000003, 0.0125, 0.0, 0.0, 0.04321337230544392, 0.005364389233954452, 0.0023809523809523807, 0.0011904761904761904, 0.0125, 0.018750000000000003, 0.0, 0.0, 0.0207427840701498, 0.0030869565217391303, 0.0, 0.0023809523809523807, 0.00625, 0.018750000000000003, 0.0, 0.0, 0.014403726708074532, 0.0030869565217391303, 0.0011904761904761904, 0.0035714285714285713, 0.0, 0.00625, 0.0, 0.0, 0.009571428571428571, 0.0035714285714285713, 0.0, 0.0011904761904761904, 0.0, 0.0, 0.0, 0.0, 0.014000000000000002, 0.006, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",0.21776285390361727,0,0,4,{'lens': 0},0.0,626
