ep,traj,reward,prob_failure,obs,dist_uni,entropy,oracle_calls,cache_calls,traj_len,avg_traj_len,samples
0,25,-0.31200000000000017,-1.0,"{'obs': [0.1482236049779205, 0.10525010337968566, 0.09702141996903138, 0.09820066525205023, 0.02127659574468085, 0.01276595744680851, 0.00851063829787234, 0.00851063829787234, 0.039662786029706944, 0.04465998647763528, 0.032857497517378355, 0.06962923668062167, 0.00851063829787234, 0.00425531914893617, 0.0, 0.0, 0.028342031312725814, 0.011320754716981133, 0.01429990069513406, 0.04910033262602512, 0.009518477043673012, 0.005263157894736842, 0.005263157894736842, 0.0, 0.0, 0.007547169811320755, 0.02859980139026812, 0.021052631578947368, 0.02631578947368421, 0.010526315789473684, 0.0, 0.0, 0.0, 0.007547169811320755, 0.012810327706057594, 0.015789473684210527, 0.02631578947368421, 0.010526315789473684, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.005263157894736842, 0.005263157894736842, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",0.24602387755812055,0,0,1,{'lens': 0},0.0,1021
1,25,-0.31200000000000017,-1.0,"{'obs': [0.1482236049779205, 0.10525010337968566, 0.09702141996903138, 0.09820066525205023, 0.02127659574468085, 0.01276595744680851, 0.00851063829787234, 0.00851063829787234, 0.039662786029706944, 0.04465998647763528, 0.032857497517378355, 0.06962923668062167, 0.00851063829787234, 0.00425531914893617, 0.0, 0.0, 0.028342031312725814, 0.011320754716981133, 0.01429990069513406, 0.04910033262602512, 0.009518477043673012, 0.005263157894736842, 0.005263157894736842, 0.0, 0.0, 0.007547169811320755, 0.02859980139026812, 0.021052631578947368, 0.02631578947368421, 0.010526315789473684, 0.0, 0.0, 0.0, 0.007547169811320755, 0.012810327706057594, 0.015789473684210527, 0.02631578947368421, 0.010526315789473684, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.005263157894736842, 0.005263157894736842, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",0.24602387755812055,0,0,2,{'lens': 0},0.0,1021
2,25,-0.31200000000000017,-1.0,"{'obs': [0.1482236049779205, 0.10525010337968566, 0.0970214199690314, 0.09820066525205023, 0.02127659574468085, 0.01276595744680851, 0.00851063829787234, 0.00851063829787234, 0.039662786029706944, 0.04465998647763528, 0.032857497517378355, 0.06962923668062167, 0.00851063829787234, 0.00425531914893617, 0.0, 0.0, 0.028342031312725818, 0.011320754716981135, 0.01429990069513406, 0.04910033262602512, 0.009518477043673012, 0.005263157894736842, 0.005263157894736842, 0.0, 0.0, 0.007547169811320756, 0.02859980139026812, 0.021052631578947368, 0.02631578947368421, 0.010526315789473684, 0.0, 0.0, 0.0, 0.007547169811320756, 0.012810327706057592, 0.015789473684210527, 0.02631578947368421, 0.010526315789473684, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.005263157894736842, 0.005263157894736842, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",0.24602387755812055,0,0,3,{'lens': 0},0.0,1021
5,65,-0.27075000000000016,-1.0,"{'obs': [0.13432457148224566, 0.09581152215633695, 0.07931586392861234, 0.07908146487379868, 0.017888898421413862, 0.011898776840866751, 0.00986800176487891, 0.00839910775566232, 0.05772809260078968, 0.050257857389955876, 0.04289325553618407, 0.06212614828968703, 0.0100258358662614, 0.009005429453868025, 0.004688940092165898, 0.0020161290322580645, 0.03374142904809443, 0.019831049868628887, 0.028875528585636474, 0.052980348136126454, 0.007638857782754759, 0.003947368421052632, 0.005868451370361388, 0.0012096774193548388, 0.006487168987168987, 0.010821788769901978, 0.024312941405791454, 0.015789473684210527, 0.019736842105263157, 0.007894736842105263, 0.0, 0.0, 0.003409090909090909, 0.008880074328187536, 0.014996088667886083, 0.014367357788410421, 0.019736842105263157, 0.007894736842105263, 0.0, 0.0, 0.0, 0.0020833333333333333, 0.002863090363090363, 0.0011363636363636363, 0.003947368421052632, 0.003947368421052632, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0011363636363636363, 0.0011363636363636363, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",0.2312349439442154,0,2,4,{'lens': 0},0.0,1931
