ep,traj,reward,prob_failure,obs,dist_uni,entropy,oracle_calls,cache_calls,traj_len,avg_traj_len,samples
0,25,-0.23000000000000012,-1.0,"{'obs': [0.10774640088593576, 0.03776301218161683, 0.014285714285714285, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07774640088593576, 0.028826135105204875, 0.0047619047619047615, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09100221483942414, 0.09169988925802879, 0.03976190476190476, 0.025, 0.0, 0.0, 0.0, 0.0, 0.056256921373200444, 0.0676356589147287, 0.03976190476190476, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04322259136212624, 0.04333333333333333, 0.03857142857142857, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03406423034330011, 0.0, 0.02857142857142857, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03406423034330011, 0.019413067552602435, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04790697674418605, 0.028604651162790696, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",0.290487603036568,0,0,1,{'lens': 0},0.0,671
1,25,-0.23000000000000012,-1.0,"{'obs': [0.10774640088593576, 0.03776301218161683, 0.014285714285714285, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07774640088593576, 0.028826135105204875, 0.0047619047619047615, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09100221483942414, 0.09169988925802879, 0.03976190476190476, 0.025, 0.0, 0.0, 0.0, 0.0, 0.056256921373200444, 0.0676356589147287, 0.03976190476190476, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04322259136212624, 0.04333333333333333, 0.03857142857142857, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03406423034330011, 0.0, 0.02857142857142857, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03406423034330011, 0.019413067552602435, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04790697674418605, 0.028604651162790696, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",0.290487603036568,0,0,2,{'lens': 0},0.0,671
2,25,-0.23000000000000012,-1.0,"{'obs': [0.10774640088593575, 0.03776301218161683, 0.014285714285714285, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07774640088593576, 0.028826135105204875, 0.0047619047619047615, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09100221483942413, 0.09169988925802879, 0.03976190476190476, 0.025000000000000005, 0.0, 0.0, 0.0, 0.0, 0.05625692137320045, 0.0676356589147287, 0.03976190476190476, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04322259136212624, 0.04333333333333333, 0.03857142857142857, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03406423034330011, 0.0, 0.02857142857142857, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03406423034330011, 0.019413067552602435, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04790697674418606, 0.028604651162790696, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",0.29048760303656807,0,0,3,{'lens': 0},0.0,671
5,65,-0.2092500000000001,-0.9875,"{'obs': [0.10049887185076409, 0.035198501703775226, 0.013439066416040101, 0.0016666666666666666, 0.0014912280701754386, 0.0011622807017543858, 0.0, 0.0, 0.08732913882958794, 0.03690306827461593, 0.011239153755601123, 0.002854199893673578, 0.0027046783625730994, 0.0014912280701754386, 0.0008333333333333333, 0.0008333333333333333, 0.09357786894834808, 0.0896223338281838, 0.03787171162171162, 0.024528769841269844, 0.0017178362573099415, 0.0003289473684210526, 0.0, 0.0008333333333333333, 0.04848305053598565, 0.06415589073276523, 0.03695775132479292, 0.001644736842105263, 0.0003289473684210526, 0.0006578947368421052, 0.000986842105263158, 0.0011622807017543858, 0.037323374456251425, 0.04433148504721085, 0.036203466878339544, 0.004055324803945347, 0.0011787280701754384, 0.0011787280701754384, 0.0006578947368421052, 0.0011622807017543858, 0.027201398563926695, 0.007248151713877519, 0.023935549100022786, 0.0024733709273182954, 0.0019407894736842104, 0.0018366228070175437, 0.0, 0.0008333333333333333, 0.025548172757475084, 0.014559800664451826, 0.0, 0.0005952380952380952, 0.0023989661654135338, 0.0018366228070175437, 0.0006578947368421052, 0.0008333333333333333, 0.03593023255813954, 0.021453488372093023, 0.0, 0.0, 0.0, 0.0013157894736842105, 0.001973684210526316, 0.0008333333333333333]}",0.2788698550289959,0,2,4,{'lens': 0},0.0,1521
38,705,-0.1952000000000001,-0.79,"{'obs': [0.08102409748061126, 0.04085522993444875, 0.02273934837092732, 0.01269642857142857, 0.012556077694235588, 0.011667919799498747, 0.010738095238095238, 0.0006666666666666666, 0.07129188249224178, 0.03161769271493084, 0.011086561099718995, 0.005003598010176958, 0.005508980785296575, 0.003913220551378447, 0.01345833333333333, 0.014791666666666665, 0.07486229515867845, 0.07169786706254704, 0.030297369297369297, 0.019623015873015875, 0.0013742690058479532, 0.0002631578947368421, 0.0, 0.016666666666666663, 0.038786440428788524, 0.051324712586212184, 0.029566201059834336, 0.0013157894736842105, 0.0002631578947368421, 0.0005263157894736842, 0.0014144736842105264, 0.01501315789473684, 0.02985869956500114, 0.03546518803776868, 0.028962773502671634, 0.0032442598431562776, 0.0009429824561403507, 0.0009429824561403507, 0.0005263157894736842, 0.01634649122807017, 0.021761118851141355, 0.0057985213711020155, 0.019148439280018227, 0.001978696741854636, 0.0015526315789473684, 0.001469298245614035, 0.0, 0.01545833333333333, 0.020438538205980065, 0.011647840531561461, 0.0, 0.00047619047619047614, 0.001919172932330827, 0.001469298245614035, 0.0005263157894736842, 0.014791666666666665, 0.028744186046511633, 0.01716279069767442, 0.0, 0.0, 0.0, 0.0010526315789473684, 0.0015789473684210526, 0.014124999999999999]}",0.22803589384113376,0,34,5,{'lens': 0},0.0,9455
