ep,traj,reward,prob_failure,obs,dist_uni,entropy,oracle_calls,cache_calls,traj_len,avg_traj_len,samples
0,25,-0.168,-1.0,"{'obs': [0.10031063321385902, 0.07636363636363637, 0.11022265667426959, 0.039448245899858805, 0.050222656674269575, 0.02126642771804062, 0.0064516129032258064, 0.048984468339307044, 0.04031063321385902, 0.03385902031063322, 0.08031063321385903, 0.027407407407407408, 0.03636363636363636, 0.007407407407407407, 0.014814814814814814, 0.03608124253285543, 0.014814814814814814, 0.06707287933094384, 0.06580645161290323, 0.05818181818181818, 0.01818181818181818, 0.0, 0.013859020310633213, 0.0064516129032258064, 0.0064516129032258064, 0.01935483870967742, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",0.22295698593444735,0,0,1,{'lens': 0},0.0,641
1,25,-0.168,-1.0,"{'obs': [0.10031063321385902, 0.07636363636363637, 0.11022265667426959, 0.039448245899858805, 0.050222656674269575, 0.02126642771804062, 0.0064516129032258064, 0.048984468339307044, 0.04031063321385902, 0.03385902031063322, 0.08031063321385903, 0.027407407407407408, 0.03636363636363636, 0.007407407407407407, 0.014814814814814814, 0.03608124253285543, 0.014814814814814814, 0.06707287933094384, 0.06580645161290323, 0.05818181818181818, 0.01818181818181818, 0.0, 0.013859020310633213, 0.0064516129032258064, 0.0064516129032258064, 0.01935483870967742, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",0.22295698593444735,0,0,2,{'lens': 0},0.0,641
2,25,-0.168,-1.0,"{'obs': [0.10031063321385902, 0.07636363636363637, 0.1102226566742696, 0.039448245899858805, 0.05022265667426958, 0.02126642771804062, 0.0064516129032258064, 0.04898446833930705, 0.04031063321385902, 0.03385902031063322, 0.08031063321385903, 0.027407407407407408, 0.03636363636363636, 0.007407407407407407, 0.014814814814814814, 0.03608124253285543, 0.014814814814814814, 0.06707287933094384, 0.06580645161290323, 0.05818181818181819, 0.01818181818181818, 0.0, 0.013859020310633213, 0.0064516129032258064, 0.0064516129032258064, 0.01935483870967742, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",0.22295698593444738,0,0,3,{'lens': 0},0.0,641
3,25,-0.168,-1.0,"{'obs': [0.10031063321385902, 0.07636363636363637, 0.11022265667426959, 0.039448245899858805, 0.050222656674269575, 0.02126642771804062, 0.0064516129032258064, 0.048984468339307044, 0.04031063321385902, 0.03385902031063322, 0.08031063321385903, 0.027407407407407408, 0.03636363636363636, 0.007407407407407407, 0.014814814814814814, 0.03608124253285543, 0.014814814814814814, 0.06707287933094384, 0.06580645161290323, 0.05818181818181818, 0.01818181818181818, 0.0, 0.013859020310633213, 0.0064516129032258064, 0.0064516129032258064, 0.01935483870967742, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",0.22295698593444735,0,0,4,{'lens': 0},0.0,641
