ep,traj,reward,prob_failure,obs,dist_uni,entropy,oracle_calls,cache_calls,traj_len,avg_traj_len,samples
0,25,-0.17400000000000007,-1.0,"{'obs': [0.09477272727272727, 0.16625, 0.09, 0.075, 0.0, 0.0, 0.0, 0.0, 0.12545454545454543, 0.01534090909090909, 0.02, 0.025, 0.0, 0.0, 0.0, 0.0, 0.06852272727272726, 0.05170454545454546, 0.04727272727272727, 0.05409090909090909, 0.0, 0.0, 0.0, 0.0, 0.0225, 0.00909090909090909, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0325, 0.01625, 0.01, 0.02, 0.02, 0.0, 0.0, 0.0, 0.0, 0.00625, 0.01, 0.01, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",0.2927056691245831,0,0,1,{'lens': 0},0.0,714
1,25,-0.17400000000000007,-1.0,"{'obs': [0.09477272727272727, 0.16625, 0.09, 0.075, 0.0, 0.0, 0.0, 0.0, 0.12545454545454543, 0.01534090909090909, 0.02, 0.025, 0.0, 0.0, 0.0, 0.0, 0.06852272727272726, 0.05170454545454546, 0.04727272727272727, 0.05409090909090909, 0.0, 0.0, 0.0, 0.0, 0.0225, 0.00909090909090909, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0325, 0.01625, 0.01, 0.02, 0.02, 0.0, 0.0, 0.0, 0.0, 0.00625, 0.01, 0.01, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",0.2927056691245831,0,0,2,{'lens': 0},0.0,714
2,25,-0.17400000000000007,-1.0,"{'obs': [0.09477272727272727, 0.16625, 0.09000000000000001, 0.075, 0.0, 0.0, 0.0, 0.0, 0.12545454545454543, 0.01534090909090909, 0.02, 0.025000000000000005, 0.0, 0.0, 0.0, 0.0, 0.06852272727272726, 0.05170454545454547, 0.04727272727272727, 0.0540909090909091, 0.0, 0.0, 0.0, 0.0, 0.022500000000000003, 0.00909090909090909, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0325, 0.01625, 0.01, 0.02, 0.02, 0.0, 0.0, 0.0, 0.0, 0.006250000000000001, 0.01, 0.01, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",0.2927056691245831,0,0,3,{'lens': 0},0.0,714
3,25,-0.17400000000000007,-1.0,"{'obs': [0.09477272727272727, 0.16625, 0.09, 0.075, 0.0, 0.0, 0.0, 0.0, 0.12545454545454543, 0.01534090909090909, 0.02, 0.025, 0.0, 0.0, 0.0, 0.0, 0.06852272727272726, 0.05170454545454546, 0.04727272727272727, 0.05409090909090909, 0.0, 0.0, 0.0, 0.0, 0.0225, 0.00909090909090909, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0325, 0.01625, 0.01, 0.02, 0.02, 0.0, 0.0, 0.0, 0.0, 0.00625, 0.01, 0.01, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",0.2927056691245831,0,0,4,{'lens': 0},0.0,714
29,525,-0.7391999999999959,-0.8,"{'obs': [0.12011818181818183, 0.17406666666666668, 0.1021, 0.0776, 0.011466666666666667, 0.011333333333333332, 0.0113, 0.012266666666666665, 0.10713030303030302, 0.017206060606060607, 0.01906666666666667, 0.020866666666666665, 0.0006333333333333334, 0.001133333333333333, 0.0007333333333333333, 0.0013666666666666666, 0.05515151515151514, 0.04163030303030303, 0.03785151515151515, 0.043272727272727275, 0.0, 0.0, 0.0, 6.666666666666667e-05, 0.01806666666666667, 0.007472727272727272, 0.0001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.026000000000000002, 0.013000000000000001, 0.008, 0.016, 0.016, 0.0, 0.0, 0.0, 0.0, 0.005, 0.008, 0.008, 0.008, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",0.2888194608807403,0,25,5,{'lens': 0},0.0,122599
