ep,traj,reward,prob_failure,obs,dist_uni,entropy,oracle_calls,cache_calls,traj_len,avg_traj_len,samples
0,25,-0.18000000000000005,-1.0,"{'obs': [0.12121212121212119, 0.1231818181818182, 0.16666666666666669, 0.06000000000000001, 0.04666666666666667, 0.0, 0.0, 0.0, 0.06545454545454546, 0.04393939393939394, 0.05500000000000001, 0.07833333333333334, 0.026666666666666665, 0.006666666666666666, 0.0, 0.0, 0.019090909090909092, 0.03727272727272727, 0.00909090909090909, 0.05742424242424242, 0.01, 0.006666666666666666, 0.006666666666666666, 0.0, 0.0, 0.01, 0.01, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.01, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",0.27497813964046797,0,0,1,{'lens': 0},0.0,724
1,25,-0.18000000000000005,-1.0,"{'obs': [0.12121212121212119, 0.1231818181818182, 0.16666666666666669, 0.06000000000000001, 0.04666666666666667, 0.0, 0.0, 0.0, 0.06545454545454546, 0.04393939393939394, 0.05500000000000001, 0.07833333333333334, 0.026666666666666665, 0.006666666666666666, 0.0, 0.0, 0.019090909090909092, 0.03727272727272727, 0.00909090909090909, 0.05742424242424242, 0.01, 0.006666666666666666, 0.006666666666666666, 0.0, 0.0, 0.01, 0.01, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.01, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",0.27497813964046797,0,0,2,{'lens': 0},0.0,724
2,25,-0.18000000000000005,-1.0,"{'obs': [0.12121212121212117, 0.12318181818181821, 0.16666666666666666, 0.06000000000000002, 0.04666666666666667, 0.0, 0.0, 0.0, 0.06545454545454546, 0.04393939393939394, 0.055000000000000014, 0.07833333333333334, 0.02666666666666666, 0.006666666666666665, 0.0, 0.0, 0.019090909090909092, 0.03727272727272727, 0.00909090909090909, 0.05742424242424241, 0.01, 0.006666666666666665, 0.006666666666666665, 0.0, 0.0, 0.01, 0.01, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.01, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",0.27497813964046797,0,0,3,{'lens': 0},0.0,724
3,25,-0.18000000000000005,-1.0,"{'obs': [0.12121212121212119, 0.1231818181818182, 0.16666666666666669, 0.06000000000000001, 0.04666666666666667, 0.0, 0.0, 0.0, 0.06545454545454546, 0.04393939393939394, 0.05500000000000001, 0.07833333333333334, 0.026666666666666665, 0.006666666666666666, 0.0, 0.0, 0.019090909090909092, 0.03727272727272727, 0.00909090909090909, 0.05742424242424242, 0.01, 0.006666666666666666, 0.006666666666666666, 0.0, 0.0, 0.01, 0.01, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.01, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",0.27497813964046797,0,0,4,{'lens': 0},0.0,724
