ep,traj,reward,prob_failure,obs,dist_uni,entropy,oracle_calls,cache_calls,traj_len,avg_traj_len,samples
0,25,-0.21200000000000005,-1.0,"{'obs': [0.09220789002918746, 0.08497316636851521, 0.023076923076923078, 0.0, 0.0, 0.0, 0.0, 0.0, 0.14748517088786367, 0.07549194991055456, 0.027728085867620756, 0.007692307692307693, 0.0, 0.0, 0.0, 0.0, 0.14343658789191224, 0.04594670934940213, 0.023076923076923078, 0.023076923076923078, 0.0, 0.0, 0.0, 0.0, 0.08413708690330478, 0.038047264852650406, 0.010526315789473684, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05965728274173807, 0.03517747858017136, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.024479804161566705, 0.03517747858017136, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.009302325581395349, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.009302325581395349, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",0.31681342843304205,0,0,1,{'lens': 0},0.0,563
1,25,-0.18700000000000003,-1.0,"{'obs': [0.08712958604023475, 0.08011284581052022, 0.031361693861693865, 0.015277777777777776, 0.0, 0.0, 0.0, 0.0, 0.11904173074307714, 0.06387262608192841, 0.030530709600477046, 0.019123931623931622, 0.01111111111111111, 0.0, 0.0, 0.0, 0.09265846488612706, 0.06272665692800332, 0.04284188034188034, 0.04006410256410256, 0.02222222222222222, 0.0, 0.0, 0.0, 0.04976085114396008, 0.03997351587620865, 0.03203083466241361, 0.012878787878787878, 0.01111111111111111, 0.0, 0.0, 0.0, 0.029828641370869036, 0.01758873929008568, 0.004166666666666667, 0.004545454545454545, 0.00909090909090909, 0.013636363636363636, 0.0, 0.0, 0.012239902080783353, 0.01758873929008568, 0.0, 0.0, 0.0, 0.00909090909090909, 0.0, 0.0, 0.004651162790697674, 0.0, 0.0, 0.0, 0.004545454545454545, 0.004545454545454545, 0.0, 0.0, 0.004651162790697674, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",0.25906703063998415,0,0,2,{'lens': 0},0.0,563
2,25,-0.17866666666666667,-1.0,"{'obs': [0.08543681804391719, 0.07849273895785523, 0.03412328412328413, 0.02037037037037037, 0.0, 0.0, 0.0, 0.0, 0.10956058402814829, 0.05999951813905302, 0.03146491751142914, 0.02293447293447293, 0.014814814814814814, 0.0, 0.0, 0.0, 0.07573242388419867, 0.06831997278753706, 0.04943019943019943, 0.045726495726495724, 0.029629629629629627, 0.0, 0.0, 0.0, 0.038302105890845185, 0.04061559955072807, 0.039199007620060254, 0.01717171717171717, 0.014814814814814814, 0.0, 0.0, 0.0, 0.01988576091391269, 0.011725826193390453, 0.005555555555555556, 0.006060606060606061, 0.012121212121212121, 0.01818181818181818, 0.0, 0.0, 0.008159934720522235, 0.011725826193390453, 0.0, 0.0, 0.0, 0.012121212121212121, 0.0, 0.0, 0.0031007751937984496, 0.0, 0.0, 0.0, 0.006060606060606061, 0.006060606060606061, 0.0, 0.0, 0.0031007751937984496, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",0.2456094281600021,0,0,3,{'lens': 0},0.0,563
3,25,-0.17450000000000002,-1.0,"{'obs': [0.0845904340457584, 0.07768268553152273, 0.03550407925407926, 0.02291666666666666, 0.0, 0.0, 0.0, 0.0, 0.10482001067068387, 0.058062964167615326, 0.031932021466905186, 0.024839743589743585, 0.016666666666666663, 0.0, 0.0, 0.0, 0.06726940338323448, 0.07111663071730392, 0.052724358974358974, 0.0485576923076923, 0.033333333333333326, 0.0, 0.0, 0.0, 0.03257273326428774, 0.04093664138798778, 0.042783094098883576, 0.019318181818181818, 0.016666666666666663, 0.0, 0.0, 0.0, 0.014914320685434518, 0.00879436964504284, 0.00625, 0.006818181818181818, 0.013636363636363636, 0.020454545454545454, 0.0, 0.0, 0.006119951040391676, 0.00879436964504284, 0.0, 0.0, 0.0, 0.013636363636363636, 0.0, 0.0, 0.002325581395348837, 0.0, 0.0, 0.0, 0.006818181818181818, 0.006818181818181818, 0.0, 0.0, 0.002325581395348837, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",0.2402771569575076,0,0,4,{'lens': 0},0.0,563
