ep,traj,reward,prob_failure,obs,dist_uni,entropy,oracle_calls,cache_calls,traj_len,avg_traj_len,samples,lamnda
10,55,-0.13,-1.0,"{'obs': [0.05438596491228069, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0793859649122807, 0.021052631578947368, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13552631578947366, 0.10263157894736841, 0.027192982456140345, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07719298245614034, 0.07324561403508771, 0.05219298245614035, 0.010526315789473684, 0.0, 0.0, 0.0, 0.0, 0.027192982456140345, 0.016666666666666666, 0.05219298245614035, 0.021052631578947368, 0.0, 0.0, 0.0, 0.0, 0.043859649122807015, 0.03333333333333333, 0.035526315789473684, 0.010526315789473684, 0.0, 0.0, 0.0, 0.0, 0.042105263157894736, 0.0, 0.010526315789473684, 0.0, 0.0, 0.0, 0.0, 0.0, 0.021052631578947368, 0.021052631578947368, 0.021052631578947368, 0.010526315789473684, 0.0, 0.0, 0.0, 0.0]}",0.3064058300845733,0,11,0,"{'lens': [11, 7, 18, 11, 18]}",13.0,1095,0.6002999999999997
11,60,-0.21000000000000002,-1.0,"{'obs': [0.06233333333333333, 0.013333333333333332, 0.026666666666666665, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06967424242424243, 0.0, 0.026666666666666665, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0813409090909091, 0.013333333333333332, 0.026666666666666665, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07793181818181819, 0.013333333333333332, 0.013333333333333332, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09952272727272728, 0.03042424242424242, 0.013333333333333332, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10193181818181818, 0.02959090909090909, 0.013333333333333332, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07627272727272727, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.17347727272727273, 0.0125, 0.01875, 0.00625, 0.0, 0.0, 0.0, 0.0]}",0.3307886163799501,0,12,0,"{'lens': [15, 21, 24, 31, 14]}",21.0,1200,0.6003299999999997
12,65,-0.18400000000000002,-1.0,"{'obs': [0.013793103448275862, 0.08343596059113301, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08911238825031928, 0.11394362342638205, 0.0479679802955665, 0.0, 0.0, 0.0, 0.0, 0.0, 0.086941251596424, 0.03652618135376756, 0.03968253968253968, 0.02857142857142857, 0.0, 0.0, 0.0, 0.0, 0.0957375478927203, 0.04902618135376756, 0.01111111111111111, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09332694763729246, 0.048515325670498086, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05772669220945083, 0.030507662835249038, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02222222222222222, 0.007407407407407407, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04444444444444444, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",0.2916733684805341,0,13,0,"{'lens': [26, 17, 6, 28, 15]}",18.4,1292,0.6003599999999997
13,70,-0.11200000000000002,-1.0,"{'obs': [0.082991452991453, 0.06666666666666667, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.16028083028083026, 0.06555555555555555, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07062271062271061, 0.050793650793650794, 0.02222222222222222, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07538461538461538, 0.05523809523809523, 0.02222222222222222, 0.0, 0.0, 0.0, 0.0, 0.0, 0.025384615384615384, 0.08746031746031745, 0.06079365079365079, 0.0, 0.0, 0.0, 0.0, 0.0, 0.015384615384615385, 0.03888888888888888, 0.03857142857142857, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03076923076923077, 0.015384615384615385, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.015384615384615385, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",0.3123286269360555,0,14,0,"{'lens': [19, 6, 12, 8, 11]}",11.2,1348,0.6003899999999996
14,75,-0.122,-1.0,"{'obs': [0.1, 0.03833333333333333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08504273504273505, 0.08166666666666667, 0.013333333333333332, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05854700854700855, 0.11576923076923076, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.039829059829059835, 0.08576923076923076, 0.03205128205128205, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05111111111111111, 0.03833333333333333, 0.03205128205128205, 0.0, 0.0, 0.0, 0.0, 0.0, 0.024444444444444442, 0.03833333333333333, 0.03205128205128205, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03333333333333333, 0.01111111111111111, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07777777777777778, 0.01111111111111111, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",0.30268111316685103,0,15,0,"{'lens': [7, 11, 14, 17, 12]}",12.2,1409,0.6004199999999996
15,80,-0.14600000000000002,-1.0,"{'obs': [0.0, 0.008333333333333333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10714285714285714, 0.14166666666666666, 0.04722222222222222, 0.02222222222222222, 0.0, 0.0, 0.0, 0.0, 0.02936507936507936, 0.12777777777777777, 0.03888888888888888, 0.02222222222222222, 0.0, 0.0, 0.0, 0.0, 0.007142857142857143, 0.08888888888888889, 0.05277777777777778, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02142857142857143, 0.041666666666666664, 0.03055555555555555, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02142857142857143, 0.03333333333333333, 0.02222222222222222, 0.0, 0.0, 0.0, 0.0, 0.0, 0.007142857142857143, 0.0, 0.007142857142857143, 0.0, 0.0, 0.0, 0.0, 0.0, 0.014285714285714285, 0.05, 0.05, 0.007142857142857143, 0.0, 0.0, 0.0, 0.0]}",0.3006945885644881,0,16,0,"{'lens': [8, 23, 7, 27, 8]}",14.6,1482,0.6004499999999996
16,85,-0.25800000000000006,-1.0,"{'obs': [0.052650290885585, 0.007142857142857143, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11257495633277861, 0.00425531914893617, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07901807204060021, 0.025, 0.0125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05475336615824726, 0.025, 0.0125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07604749755876164, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07838266239392647, 0.0125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09700380970718894, 0.026599870717517776, 0.01276595744680851, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2270172880936335, 0.011947626841243864, 0.06808510638297872, 0.00425531914893617, 0.0, 0.0, 0.0, 0.0]}",0.3684178272688744,0,17,0,"{'lens': [25, 27, 15, 46, 16]}",25.8,1611,0.6004799999999996
17,90,-0.12200000000000003,-1.0,"{'obs': [0.008695652173913044, 0.04596273291925466, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08524844720496895, 0.05465838509316769, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0765527950310559, 0.037267080745341616, 0.02857142857142857, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11940993788819873, 0.0515527950310559, 0.0515527950310559, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09083850931677018, 0.0515527950310559, 0.0515527950310559, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07298136645962731, 0.014285714285714285, 0.02857142857142857, 0.0, 0.0, 0.0, 0.0, 0.0, 0.056677018633540376, 0.04798136645962733, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.017391304347826087, 0.008695652173913044, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",0.2996864433550949,0,18,0,"{'lens': [6, 13, 7, 13, 22]}",12.2,1672,0.6005099999999995
18,95,-0.19000000000000003,-1.0,"{'obs': [0.11065493646138806, 0.05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12818843079753894, 0.07014260249554367, 0.029946524064171122, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0918247944339026, 0.043627450980392155, 0.01818181818181818, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06412080961416824, 0.031862745098039214, 0.026515151515151512, 0.01818181818181818, 0.0, 0.0, 0.0, 0.0, 0.0428842504743833, 0.011764705882352941, 0.026515151515151512, 0.01818181818181818, 0.0, 0.0, 0.0, 0.0, 0.03643263757115749, 0.011764705882352941, 0.026515151515151512, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0428842504743833, 0.018216318785578747, 0.0064516129032258064, 0.0, 0.0, 0.0, 0.0, 0.0, 0.062239089184060715, 0.0064516129032258064, 0.0064516129032258064, 0.0, 0.0, 0.0, 0.0, 0.0]}",0.2922291175652629,0,19,0,"{'lens': [10, 23, 16, 16, 30]}",19.0,1767,0.6005399999999995
19,100,-0.136,-1.0,"{'obs': [0.007692307692307693, 0.0125, 0.0125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13067496229260936, 0.04519230769230769, 0.025, 0.0, 0.0, 0.0, 0.0, 0.0, 0.16308446455505277, 0.07083333333333333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0915158371040724, 0.05833333333333333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06725113122171947, 0.08259803921568627, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.019457013574660634, 0.08259803921568627, 0.007692307692307693, 0.0, 0.0, 0.0, 0.0, 0.0, 0.023076923076923078, 0.0, 0.007692307692307693, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06153846153846154, 0.015384615384615385, 0.015384615384615385, 0.0, 0.0, 0.0, 0.0, 0.0]}",0.3362749203515511,0,20,0,"{'lens': [15, 5, 16, 7, 25]}",13.6,1835,0.6005699999999995
