ep,traj,reward,prob_failure,obs,dist_uni,entropy,oracle_calls,cache_calls,traj_len,avg_traj_len,samples,lamnda
249,1250,-0.5780000000000003,-0.6,"{'obs': [0.0, 0.01477155232396542, 0.01477155232396542, 0.0027397260273972603, 0.0027397260273972603, 0.0027397260273972603, 0.01178647769709975, 0.006557377049180328, 0.04, 0.0, 0.012031826296568161, 0.012031826296568161, 0.012031826296568161, 0.012031826296568161, 0.02381830399366791, 0.25746482796735687, 0.04, 0.04, 0.04, 0.04, 0.0, 0.0, 0.007407407407407407, 0.11897844162425142, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02179882085194955, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02776897010568089, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11216821797144974, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0027397260273972603, 0.11899742249900284, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.004624418889160754]}",0.31196297018870617,0,250,0,"{'lens': [4, 72, 26, 66, 121]}",57.8,16802,0.6063699999999962
250,1255,-0.7160000000000004,-0.4,"{'obs': [0.0, 0.01851820061217921, 0.01851820061217921, 0.013921405235241987, 0.013921405235241987, 0.013921405235241987, 0.016390541037711124, 0.037787154242850444, 0.0, 0.0, 0.004596795376937221, 0.004596795376937221, 0.004596795376937221, 0.004596795376937221, 0.01851820061217921, 0.330538285163383, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00909090909090909, 0.22482743444570635, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.029774564693194793, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.026046439528736892, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002127659574468085, 0.12475844251618093, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0024691358024691358, 0.0735252791355766, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.006958155718800982]}",0.39345658164420744,0,251,0,"{'lens': [93, 78, 21, 80, 86]}",71.6,17160,0.6063749999999962
251,1260,-1.0600000000000007,-0.4,"{'obs': [0.0012195121951219512, 0.01052167700956106, 0.01052167700956106, 0.0076892615886326576, 0.0076892615886326576, 0.0076892615886326576, 0.0076892615886326576, 0.013658536585365855, 0.0, 0.0, 0.002832415420928403, 0.002832415420928403, 0.002832415420928403, 0.002832415420928403, 0.009627368066471628, 0.24241788042415488, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.14592167404057216, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0016129032258064516, 0.044354097378804316, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03047298559142351, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.20612890763383868, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0031063046479521397, 0.23093439579151323, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0074153723616089216]}",0.38485409421069633,0,252,0,"{'lens': [163, 80, 59, 123, 105]}",106.0,17690,0.6063799999999963
252,1265,-0.4360000000000002,-0.6,"{'obs': [0.0, 0.012514005602240896, 0.012514005602240896, 0.004166666666666667, 0.004166666666666667, 0.004166666666666667, 0.004166666666666667, 0.001680672268907563, 0.049523809523809526, 0.049523809523809526, 0.05787114845938375, 0.01787114845938375, 0.01787114845938375, 0.01787114845938375, 0.022037815126050415, 0.1846358543417367, 0.0, 0.0, 0.04, 0.04, 0.0, 0.0, 0.01619047619047619, 0.17806722689075632, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04086134453781513, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03778011204481793, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001680672268907563, 0.09222689075630253, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08676470588235294, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00584733893557423]}",0.2710191824816358,0,253,0,"{'lens': [29, 20, 118, 4, 47]}",43.6,17908,0.6063849999999963
253,1270,-0.8639999999999983,-0.4,"{'obs': [0.0, 0.012744444444444444, 0.012744444444444444, 0.012744444444444444, 0.012744444444444444, 0.012744444444444444, 0.01941111111111111, 0.09480000000000001, 0.04, 0.0, 0.0, 0.0, 0.0, 0.0, 0.014244444444444443, 0.21784444444444445, 0.04, 0.04, 0.04, 0.04, 0.0, 0.0, 0.006666666666666666, 0.16617777777777779, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.008855555555555556, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0027777777777777775, 0.031322222222222224, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08434444444444444, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08375555555555556, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.006077777777777777]}",0.29599732202766765,0,254,0,"{'lens': [29, 79, 71, 4, 249]}",86.4,18340,0.6064149999999963
254,1275,-0.9920000000000005,-0.6,"{'obs': [0.0, 0.02474888634585669, 0.02474888634585669, 0.023233734830705174, 0.021398872445384073, 0.021398872445384073, 0.04268146582100071, 0.06818181818181819, 0.0, 0.0, 0.0015151515151515152, 0.0033500139004726164, 0.0033500139004726164, 0.0033500139004726164, 0.02781442545790743, 0.2108853954522826, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01818181818181818, 0.08998150913875258, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.011147758791240763, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04328377653212302, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0016666666666666666, 0.19355871494979665, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0033500139004726164, 0.15895513703279865, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.003217054263565891]}",0.31137288893269116,0,255,0,"{'lens': [131, 128, 108, 119, 10]}",99.2,18836,0.6064199999999963
255,1280,-1.168,-0.8,"{'obs': [0.0, 0.011434077661659789, 0.011434077661659789, 0.006556028881171985, 0.006556028881171985, 0.006556028881171985, 0.006556028881171985, 0.14476232373698208, 0.0, 0.0, 0.004878048780487805, 0.004878048780487805, 0.004878048780487805, 0.004878048780487805, 0.010605815322241263, 0.2609247035590439, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0022988505747126436, 0.1268738018697007, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02197447543772007, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0272016614116845, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0033397471137987904, 0.19802470405435477, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.007664638851653029, 0.12625422386285537, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0014705882352941176]}",0.3615377521825204,0,256,0,"{'lens': [217, 135, 106, 40, 86]}",116.8,19420,0.6064499999999963
256,1285,-1.0400000000000005,-0.8,"{'obs': [0.0, 0.013157180069505359, 0.013157180069505359, 0.009598179753149774, 0.008393360476041339, 0.008393360476041339, 0.009598179753149774, 0.04457831325301205, 0.0, 0.0, 0.0035590003163555838, 0.004763819593464018, 0.004763819593464018, 0.004763819593464018, 0.01860650028615176, 0.2541354658223254, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0064516129032258064, 0.2810524463492264, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001834862385321101, 0.02362811340946171, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.026715383477623773, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.14023911656676372, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.005500747889171117, 0.11590471868646823, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0012048192771084338]}",0.3869124674850029,0,257,0,"{'lens': [108, 30, 102, 115, 165]}",104.0,19940,0.6064799999999962
257,1290,-0.9099999999999973,-0.8,"{'obs': [0.0, 0.047862652437897044, 0.007862652437897041, 0.00072992700729927, 0.00072992700729927, 0.00072992700729927, 0.00072992700729927, 0.029927007299270076, 0.04, 0.08, 0.08713272543059777, 0.0014184397163120566, 0.0014184397163120566, 0.0014184397163120566, 0.003608220738209867, 0.16687373815809908, 0.0, 0.0, 0.08571428571428572, 0.08, 0.0, 0.0, 0.00072992700729927, 0.09093544546254595, 0.0, 0.0, 0.005714285714285714, 0.005714285714285714, 0.005714285714285714, 0.005714285714285714, 0.005714285714285714, 0.0071327254305977705, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.012847011144883486, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0014184397163120566, 0.09843971631205675, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.005714285714285714, 0.11663627152988856, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0014184397163120566]}",0.26228841734407404,0,258,0,"{'lens': [273, 4, 4, 140, 34]}",91.0,20395,0.6064849999999963
258,1295,-0.8380000000000006,-0.6,"{'obs': [0.0, 0.009242191251537047, 0.009242191251537047, 0.009242191251537047, 0.009242191251537047, 0.009242191251537047, 0.009242191251537047, 0.07416014144986108, 0.04, 0.0, 0.0, 0.0, 0.0, 0.0, 0.012273537273537274, 0.21575732300031364, 0.04, 0.04, 0.04, 0.04, 0.0, 0.0, 0.0, 0.16258982871132405, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03250473951408531, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03074855177658916, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0035714285714285713, 0.14123675642367234, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.004571861581207376, 0.06246235451842928, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00467032967032967]}",0.3028484833654195,0,259,0,"{'lens': [73, 181, 55, 4, 106]}",83.8,20814,0.6065149999999963
259,1300,-1.2319999999999984,-0.6,"{'obs': [0.0, 0.0068035732499854285, 0.009129154645334266, 0.005487783776301218, 0.005487783776301218, 0.005487783776301218, 0.006269033776301218, 0.07604772286821707, 0.004651162790697674, 0.004651162790697674, 0.005966952264381885, 0.005966952264381885, 0.005966952264381885, 0.005966952264381885, 0.015398188421635484, 0.263640660517573, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08707410787142275, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0344234951477531, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.053904155373899865, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.16948375662994697, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0067482022643818845, 0.21673792948942125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.004706533776301218]}",0.3635836157318646,0,260,0,"{'lens': [151, 255, 83, 42, 85]}",123.2,21430,0.6065449999999962
260,1305,-0.6960000000000004,-0.4,"{'obs': [0.0, 0.004952330508474576, 0.004952330508474576, 0.004952330508474576, 0.003389830508474576, 0.003389830508474576, 0.003389830508474576, 0.0, 0.04511273420133376, 0.005112734201333757, 0.005112734201333757, 0.006675234201333757, 0.006675234201333757, 0.006675234201333757, 0.010065064709808332, 0.1848327724432292, 0.04, 0.04, 0.04, 0.04, 0.0, 0.0, 0.0, 0.16228705911481178, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02179705623523206, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.022822948568552836, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0015625, 0.057304629260836105, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0015625, 0.26887251669887136, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.008502564709808333]}",0.353587143962619,0,261,0,"{'lens': [66, 4, 93, 58, 127]}",69.6,21778,0.6065499999999963
261,1310,-0.6240000000000003,-0.4,"{'obs': [0.0, 0.015386337800130902, 0.015386337800130902, 0.013188535602328706, 0.013188535602328706, 0.00974025974025974, 0.00974025974025974, 0.0498001998001998, 0.0031746031746031746, 0.0031746031746031746, 0.005372405372405372, 0.005372405372405372, 0.008820681234474338, 0.008820681234474338, 0.020359142772935872, 0.33749602887533925, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.007142857142857143, 0.12420529661908972, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.019787492201285305, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07081692254106046, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08942666528873425, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0025974025974025974, 0.1581816650782168, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.008820681234474338]}",0.3757321098283327,0,262,0,"{'lens': [57, 27, 62, 90, 76]}",62.4,22090,0.6065549999999963
262,1315,-0.42200000000000026,-0.4,"{'obs': [0.0, 0.017366667713162476, 0.017366667713162476, 0.017366667713162476, 0.011484314771986004, 0.011484314771986004, 0.011484314771986004, 0.0, 0.025, 0.025, 0.025, 0.030882352941176472, 0.030882352941176472, 0.030882352941176472, 0.04236666771316248, 0.10625678914155949, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.025, 0.07843423297089695, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0030303030303030303, 0.0465639705446313, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.008912655971479501, 0.08296381566325159, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.20554433479493914, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0030303030303030303, 0.12936055617763917, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.014336364682859445]}",0.2575351029242261,0,263,0,"{'lens': [72, 65, 33, 7, 34]}",42.2,22301,0.6065849999999963
263,1320,-0.3740000000000002,-0.6,"{'obs': [0.0, 0.04711111111111112, 0.0071111111111111115, 0.0071111111111111115, 0.0071111111111111115, 0.0071111111111111115, 0.0071111111111111115, 0.013333333333333332, 0.043225806451612905, 0.0832258064516129, 0.043225806451612905, 0.0032258064516129032, 0.0032258064516129032, 0.0032258064516129032, 0.005892473118279571, 0.10057347670250896, 0.0, 0.04, 0.08, 0.08, 0.0, 0.0, 0.0, 0.03568458781362007, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.010336917562724014, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0032258064516129032, 0.045362007168458784, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002666666666666667, 0.13336200716845878, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0044444444444444444, 0.1772043010752688, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.005892473118279571]}",0.2636868920623774,0,264,0,"{'lens': [4, 44, 74, 4, 61]}",37.4,22488,0.6065899999999963
264,1325,-0.2600000000000001,-0.6,"{'obs': [0.0, 0.07344947735191638, 0.059163763066202094, 0.014285714285714285, 0.014285714285714285, 0.014285714285714285, 0.014285714285714285, 0.014285714285714285, 0.01111111111111111, 0.01111111111111111, 0.04932249322493225, 0.04932249322493225, 0.00932249322493225, 0.014200542005420055, 0.014200542005420055, 0.06133178474641889, 0.0, 0.006666666666666666, 0.006666666666666666, 0.04, 0.0, 0.0, 0.014285714285714285, 0.13172280294231514, 0.0, 0.0, 0.006666666666666666, 0.006666666666666666, 0.006666666666666666, 0.006666666666666666, 0.006666666666666666, 0.022655826558265584, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02086720867208672, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.14168021680216802, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.006666666666666666, 0.1421680216802168, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00932249322493225]}",0.2323010584022463,0,265,0,"{'lens': [29, 44, 13, 40, 4]}",26.0,22618,0.6066199999999963
265,1330,-0.3140000000000001,-0.4,"{'obs': [0.0, 0.024952107279693485, 0.024952107279693485, 0.018055555555555554, 0.018055555555555554, 0.018055555555555554, 0.018055555555555554, 0.0, 0.009950859950859951, 0.005405405405405406, 0.017707362534948742, 0.017707362534948742, 0.012301957129543337, 0.012301957129543337, 0.035762918090504296, 0.1851519623071347, 0.00909090909090909, 0.00909090909090909, 0.004545454545454545, 0.0, 0.0, 0.0, 0.017905405405405406, 0.10941156673915295, 0.0, 0.0, 0.004545454545454545, 0.004545454545454545, 0.004545454545454545, 0.004545454545454545, 0.004545454545454545, 0.021543016370602578, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06278300243817485, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.21675374433995126, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09073493556252177, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.016997561825148035]}",0.28941315486829844,0,266,0,"{'lens': [36, 43, 28, 35, 15]}",31.4,22775,0.6066499999999962
266,1335,-0.3120000000000001,-0.6,"{'obs': [0.00909090909090909, 0.06389610389610391, 0.054805194805194815, 0.014805194805194804, 0.014805194805194804, 0.014805194805194804, 0.011774891774891775, 0.048484848484848485, 0.006060606060606061, 0.015151515151515152, 0.049090909090909095, 0.0, 0.0, 0.0030303030303030303, 0.008744588744588744, 0.026580086580086582, 0.0, 0.0, 0.049090909090909095, 0.04, 0.0, 0.0, 0.0, 0.0645887445887446, 0.0, 0.0, 0.00909090909090909, 0.00909090909090909, 0.00909090909090909, 0.00909090909090909, 0.00909090909090909, 0.02995670995670996, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0387012987012987, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.005714285714285714, 0.1837229437229437, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.015151515151515152, 0.17774891774891777, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.008744588744588744]}",0.25276503919925497,0,267,0,"{'lens': [34, 65, 4, 32, 21]}",31.2,22931,0.6066799999999962
267,1340,-0.3000000000000001,-0.2,"{'obs': [0.0, 0.0339427196225934, 0.025942719622593396, 0.017247067448680355, 0.017247067448680355, 0.017247067448680355, 0.017247067448680355, 0.00625, 0.0, 0.008, 0.008695652173913044, 0.0, 0.0, 0.0, 0.015542521994134898, 0.06651392961876833, 0.0, 0.008, 0.016695652173913045, 0.0, 0.0, 0.0, 0.0, 0.09167888563049853, 0.0, 0.0, 0.016695652173913045, 0.016695652173913045, 0.016695652173913045, 0.008, 0.008, 0.03324706744868035, 0.0, 0.0, 0.0, 0.0, 0.008695652173913044, 0.0, 0.0, 0.06278372434017596, 0.0, 0.0, 0.0, 0.0, 0.008695652173913044, 0.008695652173913044, 0.008695652173913044, 0.2128077266352161, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0064516129032258064, 0.20609884610480683, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02749110671936759]}",0.28908175215704374,0,268,0,"{'lens': [22, 43, 30, 24, 31]}",30.0,23081,0.6067099999999962
268,1345,-0.17000000000000004,-0.4,"{'obs': [0.0, 0.0, 0.006060606060606061, 0.006060606060606061, 0.006060606060606061, 0.006060606060606061, 0.006060606060606061, 0.0, 0.10501221896383188, 0.018560606060606062, 0.018560606060606062, 0.0, 0.0, 0.0, 0.006060606060606061, 0.006060606060606061, 0.08645161290322581, 0.08645161290322581, 0.09895161290322581, 0.08, 0.0, 0.0, 0.0, 0.012121212121212121, 0.0, 0.0, 0.018951612903225806, 0.018951612903225806, 0.018951612903225806, 0.018951612903225806, 0.018951612903225806, 0.03146383186705767, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03791544477028348, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10045210166177906, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1618646138807429, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.025012218963831868]}",0.27940861619335783,0,269,0,"{'lens': [30, 4, 32, 4, 15]}",17.0,23166,0.6067399999999962
269,1350,-0.20800000000000005,-0.8,"{'obs': [0.02857142857142857, 0.08988925802879291, 0.08988925802879291, 0.04, 0.0, 0.0, 0.0, 0.0, 0.02857142857142857, 0.0, 0.04988925802879292, 0.07968253968253969, 0.01111111111111111, 0.01111111111111111, 0.01111111111111111, 0.1, 0.0, 0.0, 0.01020671834625323, 0.06857142857142857, 0.0, 0.0, 0.01111111111111111, 0.01111111111111111, 0.0, 0.0, 0.01020671834625323, 0.01020671834625323, 0.01020671834625323, 0.01020671834625323, 0.01020671834625323, 0.01020671834625323, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02041343669250646, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07790697674418605, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.005555555555555555, 0.18940568475452196, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.004651162790697674]}",0.25412440427475863,0,270,0,"{'lens': [35, 4, 6, 17, 42]}",20.8,23270,0.6067449999999962
270,1355,-0.2540000000000001,-0.4,"{'obs': [0.0, 0.05707179197286603, 0.05707179197286603, 0.017071791972866027, 0.017071791972866027, 0.017071791972866027, 0.017071791972866027, 0.019672131147540982, 0.025, 0.025, 0.065, 0.025, 0.025, 0.025, 0.04207179197286602, 0.1464104013566987, 0.0, 0.0, 0.04, 0.04, 0.0, 0.0, 0.025, 0.07676653476540418, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02035048049745619, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.023968343697003958, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09089881288863763, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08535895986433013, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.017071791972866027]}",0.19954925956532749,0,271,0,"{'lens': [28, 28, 4, 7, 60]}",25.4,23397,0.6067749999999962
271,1360,-0.16600000000000004,-0.2,"{'obs': [0.009523809523809523, 0.07909774436090225, 0.039097744360902256, 0.019047619047619046, 0.019047619047619046, 0.019047619047619046, 0.019047619047619046, 0.0, 0.00909090909090909, 0.04, 0.05052631578947368, 0.0, 0.0, 0.0, 0.019047619047619046, 0.06666666666666667, 0.00909090909090909, 0.00909090909090909, 0.05961722488038278, 0.04, 0.0, 0.0, 0.0, 0.019047619047619046, 0.0, 0.0, 0.019617224880382776, 0.019617224880382776, 0.019617224880382776, 0.019617224880382776, 0.019617224880382776, 0.046753246753246755, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.010526315789473684, 0.0659375712007291, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07876509455456823, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1351788562314878, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.038664843928001826]}",0.1872156212350616,0,272,0,"{'lens': [20, 4, 20, 18, 21]}",16.6,23480,0.6068049999999962
272,1365,-0.18000000000000002,-0.2,"{'obs': [0.0, 0.017523809523809525, 0.025523809523809525, 0.009523809523809523, 0.009523809523809523, 0.009523809523809523, 0.009523809523809523, 0.025523809523809525, 0.039090909090909086, 0.013333333333333332, 0.016, 0.008, 0.008, 0.008, 0.008, 0.08609523809523809, 0.025757575757575757, 0.013333333333333332, 0.013333333333333332, 0.0, 0.0, 0.0, 0.0, 0.04304761904761904, 0.025757575757575757, 0.025757575757575757, 0.039090909090909086, 0.039090909090909086, 0.025757575757575757, 0.00909090909090909, 0.00909090909090909, 0.036138528138528137, 0.0, 0.0, 0.0, 0.013333333333333332, 0.016666666666666666, 0.0, 0.0, 0.026614718614718612, 0.0, 0.0, 0.0, 0.013333333333333332, 0.03, 0.03, 0.013333333333333332, 0.03994805194805194, 0.0, 0.0, 0.0, 0.0, 0.0, 0.016666666666666666, 0.016666666666666666, 0.14505627705627705, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03994805194805194]}",0.19004285190644854,0,273,0,"{'lens': [24, 21, 20, 11, 14]}",18.0,23570,0.6068099999999962
273,1370,-0.20400000000000004,-0.2,"{'obs': [0.0325, 0.05789682539682539, 0.05789682539682539, 0.017261904761904763, 0.0125, 0.0125, 0.0, 0.0, 0.02, 0.0, 0.040634920634920635, 0.024761904761904763, 0.024761904761904763, 0.03726190476190476, 0.03726190476190476, 0.026785714285714284, 0.0, 0.0, 0.020634920634920634, 0.0, 0.0, 0.0, 0.02, 0.03154761904761905, 0.0, 0.0, 0.020634920634920634, 0.020634920634920634, 0.020634920634920634, 0.020634920634920634, 0.020634920634920634, 0.037896825396825394, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.037896825396825394, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1853174603174603, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12361111111111112, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.037896825396825394]}",0.22185379610958905,0,274,0,"{'lens': [9, 15, 17, 41, 20]}",20.4,23672,0.6068149999999962
274,1375,-0.18600000000000003,0.0,"{'obs': [0.00909090909090909, 0.05299384825700615, 0.04390293916609706, 0.019090909090909092, 0.019090909090909092, 0.01, 0.02, 0.0, 0.008695652173913044, 0.02608695652173913, 0.033507682249101015, 0.010526315789473684, 0.019617224880382776, 0.010526315789473684, 0.030526315789473686, 0.05210526315789473, 0.0, 0.017391304347826087, 0.02298136645962733, 0.0, 0.00909090909090909, 0.00909090909090909, 0.0, 0.029617224880382775, 0.0, 0.0, 0.02298136645962733, 0.02298136645962733, 0.02298136645962733, 0.017786561264822136, 0.017786561264822136, 0.04740378614520491, 0.0, 0.0, 0.0, 0.0, 0.014285714285714285, 0.014285714285714285, 0.014285714285714285, 0.052598591340010104, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0916895004309192, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.14440221106124995, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.052598591340010104]}",0.17002625198293417,0,275,0,"{'lens': [22, 21, 19, 18, 13]}",18.6,23765,0.6068449999999962
